Type,Key,Title,Comments,To_Go_In_TAF,Already_In_TAF
Table,9.2.12,Short Term Forecast,,Yes,No
Table,9.2.11,Input to Forecast,,Maybe,No
Table,9.2.1,"SUMMARY:Estimated R, TBS,  SSB, Yield and average F-bar",,Yes,Yes
Table,9.2.9,Stock numbers (millions). ,The Format is very diffrent and level of detail is increased ,Yes,Yes
Table,9.2.8,Natural M at age per half year,,Yes,No
Table,9.2.7,F at age (per half year),Small values are floored to zero (accuracy lost) and format differ to report table,Yes,Yes
Table,9.2.6,F at age (annual),,Yes,No
Table,9.2.5,SMS settings and Statistics,,Maybe,No
Table,9.2.4,Dredge survey indices,,Maybe,No
Table,9.2.3,Proportion Mature,,Yes,No
Table,9.2.2,Individual mean weight (g) at age in the catch and in the sea.,,Yes,No
Table,9.2.1,Catch at age numbers (million) by half year.,,Yes,No
Table,9.1.8,Number of samples from  commercial catches  by year and area.,,Yes,No
Table,9.1.7,"Effort (days fishing for a standard  200 GT vessel) by  area, as estimated by ICES. (2nd Half)",,Yes,No
Table,9.1.6,"Effort (days fishing for a standard  200 GT vessel) by  area, as estimated by ICES. (1st Half)",,Yes,No
Table,9.1.5,"Effort (days fishing for a standard  200 GT vessel) by  area, as estimated by ICES. (ANNUAL)",,Yes,No
Table,9.1.4,"Total catches, Estimated by ICES (2nd Half)",,Yes,No
Table,9.1.3,"Total catches, Estimated by ICES (1st Half)",,Yes,No
Table,9.1.2,Total catch (tonnes) by area  as estimated by ICES. ,,Yes,No
Table,9.1.1,"Catches ’000 t , 955–2018.",Problem with title in report?,Yes,No
Figure,11.2.14,RTM Survey (CPUE at age residuals),,Yes,No
Figure,11.2.13,Stock Summary,,Yes,No
Figure,11.2.12,Total effort (days fishing for a  standard 200 GT vessel) and estimated average Fishing mortality.,,Yes,No
Figure,11.2.11,"Model output (mean F, SSB and  Recruitment) ",,Yes,No
Figure,11.2.1,Uncertainties of model output ,,Yes,No
Figure,11.2.9,Retospective Analysis (Mohns Roe),,Yes,No
Figure,11.2.8,Estimated SSB-R relationship,,Yes,No
Figure,11.2.7,Catch at age residuals ,,Yes,No
Figure,11.2.6,Survey CPUE at age residuals,There are two of these (slightly different),Yes,No
Figure,11.2.5,Dredge survey index timeline.,,Maybe,No
Figure,11.2.4,Internal consistency by age of the dredge  survey.,,Maybe,No
Figure,11.2.3,CPUE and Effort,,Yes,No
Figure,11.2.2,Mean weight at age in the first Half year (age 1–4+) and  second half year (age 0–4+).,,Yes,No
Figure,11.2.1,Proportion at Age,,Yes,No
Figure,11.1.5,Map of the Norwegian sandeel management areas and sub-areas in the North Sea.,,No,No
Figure,11.1.4,Danish survey indices by year  and ICES rectangles,,Maybe,No
Figure,11.1.3,Total Catches by year and Area,,Yes,No
Figure,11.1.2,Catch by ICES rectangles 2003–2018.,,Yes,No
Figure,11.1.1,Sandeel Management areas In ICES Division 4 and 3a,,No,No
